"DATE","TIME PERIOD","Average close"
"1994-01-31","1994Jan","6.9100"
"1994-02-28","1994Feb","6.8600"
"1994-03-31","1994Mar","6.7500"
"1994-04-30","1994Apr","6.5700"
"1994-05-31","1994May","6.2400"
"1994-06-30","1994Jun","6.3000"
"1994-07-31","1994Jul","6.3400"
"1994-08-31","1994Aug","6.4300"
"1994-09-30","1994Sep","6.3800"
"1994-10-31","1994Oct","6.4300"
"1994-11-30","1994Nov","6.4000"
"1994-12-31","1994Dec","6.6900"
"1995-01-31","1995Jan","6.6600"
"1995-02-28","1995Feb","6.5900"
"1995-03-31","1995Mar","7.5800"
"1995-04-30","1995Apr","7.2900"
"1995-05-31","1995May","7.0400"
"1995-06-30","1995Jun","7.0800"
"1995-07-31","1995Jul","6.9200"
"1995-08-31","1995Aug","6.6600"
"1995-09-30","1995Sep","6.5000"
"1995-10-31","1995Oct","6.7500"
"1995-11-30","1995Nov","6.4500"
"1995-12-31","1995Dec","6.3200"
"1996-01-31","1996Jan","5.8100"
"1996-02-29","1996Feb","5.5800"
"1996-03-31","1996Mar","5.5000"
"1996-04-30","1996Apr","5.2700"
"1996-05-31","1996May","5.0600"
"1996-06-30","1996Jun","5.0800"
"1996-07-31","1996Jul","5.0600"
"1996-08-31","1996Aug","5.0800"
"1996-09-30","1996Sep","4.8600"
"1996-10-31","1996Oct","4.6900"
"1996-11-30","1996Nov","4.5700"
"1996-12-31","1996Dec","4.5000"
"1997-01-31","1997Jan","4.3900"
"1997-02-28","1997Feb","4.4300"
"1997-03-31","1997Mar","4.5000"
"1997-04-30","1997Apr","4.3900"
"1997-05-31","1997May","4.3000"
"1997-06-30","1997Jun","4.2900"
"1997-07-31","1997Jul","4.3000"
"1997-08-31","1997Aug","4.3600"
"1997-09-30","1997Sep","4.3100"
"1997-10-31","1997Oct","4.4400"
"1997-11-30","1997Nov","4.4900"
"1997-12-31","1997Dec","4.3700"
"1998-01-31","1998Jan","4.2600"
"1998-02-28","1998Feb","4.2400"
"1998-03-31","1998Mar","4.1100"
"1998-04-30","1998Apr","4.0900"
"1998-05-31","1998May","4.0600"
"1998-06-30","1998Jun","4.0200"
"1998-07-31","1998Jul","3.9500"
"1998-08-31","1998Aug","3.9300"
"1998-09-30","1998Sep","3.9300"
"1998-10-31","1998Oct","3.8100"
"1998-11-30","1998Nov","3.6900"
"1998-12-31","1998Dec","3.3700"
"1999-01-31","1999Jan","3.1321"
"1999-02-28","1999Feb","3.0934"
"1999-03-31","1999Mar","3.0467"
"1999-04-30","1999Apr","2.6965"
"1999-05-31","1999May","2.5790"
"1999-06-30","1999Jun","2.6267"
"1999-07-31","1999Jul","2.6765"
"1999-08-31","1999Aug","2.6950"
"1999-09-30","1999Sep","2.7267"
"1999-10-31","1999Oct","3.3757"
"1999-11-30","1999Nov","3.4677"
"1999-12-31","1999Dec","3.4460"
"2000-01-31","2000Jan","3.3431"
"2000-02-29","2000Feb","3.5368"
"2000-03-31","2000Mar","3.7470"
"2000-04-30","2000Apr","3.9253"
"2000-05-31","2000May","4.3620"
"2000-06-30","2000Jun","4.5017"
"2000-07-31","2000Jul","4.5829"
"2000-08-31","2000Aug","4.7771"
"2000-09-30","2000Sep","4.8528"
"2000-10-31","2000Oct","5.0413"
"2000-11-30","2000Nov","5.0920"
"2000-12-31","2000Dec","4.9392"
"2001-01-31","2001Jan","4.7707"
"2001-02-28","2001Feb","4.7558"
"2001-03-31","2001Mar","4.7086"
"2001-04-30","2001Apr","4.6820"
"2001-05-31","2001May","4.6367"
"2001-06-30","2001Jun","4.4536"
"2001-07-31","2001Jul","4.4671"
"2001-08-31","2001Aug","4.3535"
"2001-09-30","2001Sep","3.9829"
"2001-10-31","2001Oct","3.5999"
"2001-11-30","2001Nov","3.3857"
"2001-12-31","2001Dec","3.3449"
"2002-01-31","2002Jan","3.3388"
"2002-02-28","2002Feb","3.3571"
"2002-03-31","2002Mar","3.3908"
"2002-04-30","2002Apr","3.4069"
"2002-05-31","2002May","3.4671"
"2002-06-30","2002Jun","3.4640"
"2002-07-31","2002Jul","3.4100"
"2002-08-31","2002Aug","3.3519"
"2002-09-30","2002Sep","3.3101"
"2002-10-31","2002Oct","3.2613"
"2002-11-30","2002Nov","3.1241"
"2002-12-31","2002Dec","2.9410"
"2003-01-31","2003Jan","2.8318"
"2003-02-28","2003Feb","2.6875"
"2003-03-31","2003Mar","2.5300"
"2003-04-30","2003Apr","2.5333"
"2003-05-31","2003May","2.4005"
"2003-06-30","2003Jun","2.1519"
"2003-07-31","2003Jul","2.1300"
"2003-08-31","2003Aug","2.1404"
"2003-09-30","2003Sep","2.1473"
"2003-10-31","2003Oct","2.1436"
"2003-11-30","2003Nov","2.1590"
"2003-12-31","2003Dec","2.1463"
"2004-01-31","2004Jan","2.0895"
"2004-02-29","2004Feb","2.0706"
"2004-03-31","2004Mar","2.0288"
"2004-04-30","2004Apr","2.0488"
"2004-05-31","2004May","2.0859"
"2004-06-30","2004Jun","2.1127"
"2004-07-31","2004Jul","2.1160"
"2004-08-31","2004Aug","2.1143"
"2004-09-30","2004Sep","2.1186"
"2004-10-31","2004Oct","2.1473"
"2004-11-30","2004Nov","2.1703"
"2004-12-31","2004Dec","2.1732"
"2005-01-31","2005Jan","2.1454"
"2005-02-28","2005Feb","2.1384"
"2005-03-31","2005Mar","2.1372"
"2005-04-30","2005Apr","2.1372"
"2005-05-31","2005May","2.1256"
"2005-06-30","2005Jun","2.1110"
"2005-07-31","2005Jul","2.1194"
"2005-08-31","2005Aug","2.1325"
"2005-09-30","2005Sep","2.1391"
"2005-10-31","2005Oct","2.1966"
"2005-11-30","2005Nov","2.3609"
"2005-12-31","2005Dec","2.4729"
"2006-01-31","2006Jan","2.5117"
"2006-02-28","2006Feb","2.6004"
"2006-03-31","2006Mar","2.7226"
"2006-04-30","2006Apr","2.7938"
"2006-05-31","2006May","2.8890"
"2006-06-30","2006Jun","2.9857"
"2006-07-31","2006Jul","3.1022"
"2006-08-31","2006Aug","3.2265"
"2006-09-30","2006Sep","3.3354"
"2006-10-31","2006Oct","3.5020"
"2006-11-30","2006Nov","3.5972"
"2006-12-31","2006Dec","3.6842"
"2007-01-31","2007Jan","3.7519"
"2007-02-28","2007Feb","3.8182"
"2007-03-31","2007Mar","3.8909"
"2007-04-30","2007Apr","3.9753"
"2007-05-31","2007May","4.0714"
"2007-06-30","2007Jun","4.1478"
"2007-07-31","2007Jul","4.2162"
"2007-08-31","2007Aug","4.5436"
"2007-09-30","2007Sep","4.7417"
"2007-10-31","2007Oct","4.6874"
"2007-11-30","2007Nov","4.6385"
"2007-12-31","2007Dec","4.8484"
"2008-01-31","2008Jan","4.4815"
"2008-02-29","2008Feb","4.3621"
"2008-03-31","2008Mar","4.5964"
"2008-04-30","2008Apr","4.7835"
"2008-05-31","2008May","4.8574"
"2008-06-30","2008Jun","4.9405"
"2008-07-31","2008Jul","4.9610"
"2008-08-31","2008Aug","4.9652"
"2008-09-30","2008Sep","5.0192"
"2008-10-31","2008Oct","5.1131"
"2008-11-30","2008Nov","4.2383"
"2008-12-31","2008Dec","3.2926"
"2009-01-31","2009Jan","2.4565"
"2009-02-28","2009Feb","1.9431"
"2009-03-31","2009Mar","1.6355"
"2009-04-30","2009Apr","1.4223"
"2009-05-31","2009May","1.2817"
"2009-06-30","2009Jun","1.2279"
"2009-07-31","2009Jul","0.9750"
"2009-08-31","2009Aug","0.8605"
"2009-09-30","2009Sep","0.7721"
"2009-10-31","2009Oct","0.7375"
"2009-11-30","2009Nov","0.7162"
"2009-12-31","2009Dec","0.7120"
"2010-01-31","2010Jan","0.6798"
"2010-02-28","2010Feb","0.6617"
"2010-03-31","2010Mar","0.6450"
"2010-04-30","2010Apr","0.6447"
"2010-05-31","2010May","0.6865"
"2010-06-30","2010Jun","0.7276"
"2010-07-31","2010Jul","0.8488"
"2010-08-31","2010Aug","0.8955"
"2010-09-30","2010Sep","0.8805"
"2010-10-31","2010Oct","0.9977"
"2010-11-30","2010Nov","1.0420"
"2010-12-31","2010Dec","1.0217"
"2011-01-31","2011Jan","1.0172"
"2011-02-28","2011Feb","1.0867"
"2011-03-31","2011Mar","1.1755"
"2011-04-30","2011Apr","1.3212"
"2011-05-31","2011May","1.4251"
"2011-06-30","2011Jun","1.4886"
"2011-07-31","2011Jul","1.5976"
"2011-08-31","2011Aug","1.5521"
"2011-09-30","2011Sep","1.5365"
"2011-10-31","2011Oct","1.5759"
"2011-11-30","2011Nov","1.4847"
"2011-12-31","2011Dec","1.4261"
"2012-01-31","2012Jan","1.2222"
"2012-02-29","2012Feb","1.0483"
"2012-03-31","2012Mar","0.8585"
"2012-04-30","2012Apr","0.7443"
"2012-05-31","2012May","0.6849"
"2012-06-30","2012Jun","0.6589"
"2012-07-31","2012Jul","0.4970"
"2012-08-31","2012Aug","0.3324"
"2012-09-30","2012Sep","0.2463"
"2012-10-31","2012Oct","0.2079"
"2012-11-30","2012Nov","0.1920"
"2012-12-31","2012Dec","0.1855"
"2013-01-31","2013Jan","0.2049"
"2013-02-28","2013Feb","0.2234"
"2013-03-31","2013Mar","0.2061"
"2013-04-30","2013Apr","0.2089"
"2013-05-31","2013May","0.2012"
"2013-06-30","2013Jun","0.2103"
"2013-07-31","2013Jul","0.2214"
"2013-08-31","2013Aug","0.2259"
"2013-09-30","2013Sep","0.2232"
"2013-10-31","2013Oct","0.2258"
"2013-11-30","2013Nov","0.2234"
"2013-12-31","2013Dec","0.2735"
"2014-01-31","2014Jan","0.2920"
"2014-02-28","2014Feb","0.2881"
"2014-03-31","2014Mar","0.3053"
"2014-04-30","2014Apr","0.3297"
"2014-05-31","2014May","0.3246"
"2014-06-30","2014Jun","0.2414"
"2014-07-31","2014Jul","0.2050"
"2014-08-31","2014Aug","0.1916"
"2014-09-30","2014Sep","0.0971"
"2014-10-31","2014Oct","0.0826"
"2014-11-30","2014Nov","0.0809"
"2014-12-31","2014Dec","0.0809"
"2015-01-31","2015Jan","0.0627"
"2015-02-28","2015Feb","0.0482"
"2015-03-31","2015Mar","0.0272"
"2015-04-30","2015Apr","0.0047"
"2015-05-31","2015May","-0.0104"
"2015-06-30","2015Jun","-0.0139"
"2015-07-31","2015Jul","-0.0187"
"2015-08-31","2015Aug","-0.0277"
"2015-09-30","2015Sep","-0.0370"
"2015-10-31","2015Oct","-0.0536"
"2015-11-30","2015Nov","-0.0876"
"2015-12-31","2015Dec","-0.1263"
"2016-01-31","2016Jan","-0.1461"
"2016-02-29","2016Feb","-0.1836"
"2016-03-31","2016Mar","-0.2285"
"2016-04-30","2016Apr","-0.2492"
"2016-05-31","2016May","-0.2572"
"2016-06-30","2016Jun","-0.2679"
"2016-07-31","2016Jul","-0.2945"
"2016-08-31","2016Aug","-0.2982"
"2016-09-30","2016Sep","-0.3016"
"2016-10-31","2016Oct","-0.3090"
"2016-11-30","2016Nov","-0.3127"
"2016-12-31","2016Dec","-0.3158"
"2017-01-31","2017Jan","-0.3255"
"2017-02-28","2017Feb","-0.3286"
"2017-03-31","2017Mar","-0.3293"
"2017-04-30","2017Apr","-0.3304"
"2017-05-31","2017May","-0.3295"
"2017-06-30","2017Jun","-0.3300"
"2017-07-31","2017Jul","-0.3304"
"2017-08-31","2017Aug","-0.3291"
"2017-09-30","2017Sep","-0.3294"
"2017-10-31","2017Oct","-0.3295"
"2017-11-30","2017Nov","-0.3290"
"2017-12-31","2017Dec","-0.3279"
"2018-01-31","2018Jan","-0.3285"
"2018-02-28","2018Feb","-0.3285"
"2018-03-31","2018Mar","-0.3279"
"2018-04-30","2018Apr","-0.3285"
"2018-05-31","2018May","-0.3252"
"2018-06-30","2018Jun","-0.3220"
"2018-07-31","2018Jul","-0.3207"
"2018-08-31","2018Aug","-0.3190"
"2018-09-30","2018Sep","-0.3188"
"2018-10-31","2018Oct","-0.3177"
"2018-11-30","2018Nov","-0.3164"
"2018-12-31","2018Dec","-0.3119"
"2019-01-31","2019Jan","-0.3080"
"2019-02-28","2019Feb","-0.3084"
"2019-03-31","2019Mar","-0.3092"
"2019-04-30","2019Apr","-0.3105"
"2019-05-31","2019May","-0.3119"
"2019-06-30","2019Jun","-0.3289"
"2019-07-31","2019Jul","-0.3649"
"2019-08-31","2019Aug","-0.4077"
"2019-09-30","2019Sep","-0.4176"
"2019-10-31","2019Oct","-0.4129"
"2019-11-30","2019Nov","-0.4013"
"2019-12-31","2019Dec","-0.3947"
"2020-01-31","2020Jan","-0.3911"
"2020-02-29","2020Feb","-0.4089"
"2020-03-31","2020Mar","-0.4166"
"2020-04-30","2020Apr","-0.2541"
"2020-05-31","2020May","-0.2720"
"2020-06-30","2020Jun","-0.3760"
"2020-07-31","2020Jul","-0.4441"
"2020-08-31","2020Aug","-0.4797"
"2020-09-30","2020Sep","-0.4914"
"2020-10-31","2020Oct","-0.5091"
"2020-11-30","2020Nov","-0.5209"
"2020-12-31","2020Dec","-0.5381"
"2021-01-31","2021Jan","-0.5472"
"2021-02-28","2021Feb","-0.5411"
"2021-03-31","2021Mar","-0.5391"
"2021-04-30","2021Apr","-0.5382"
"2021-05-31","2021May","-0.5401"
"2021-06-30","2021Jun","-0.5429"
"2021-07-31","2021Jul","-0.5448"
"2021-08-31","2021Aug","-0.5476"
"2021-09-30","2021Sep","-0.5450"
"2021-10-31","2021Oct","-0.5498"
"2021-11-30","2021Nov","-0.5674"
"2021-12-31","2021Dec","-0.5820"
"2022-01-31","2022Jan","-0.5601"
"2022-02-28","2022Feb","-0.5315"
"2022-03-31","2022Mar","-0.4954"
"2022-04-30","2022Apr","-0.4479"
"2022-05-31","2022May","-0.3857"
"2022-06-30","2022Jun","-0.2392"
"2022-07-31","2022Jul","0.0366"
"2022-08-31","2022Aug","0.3947"
"2022-09-30","2022Sep","1.0109"
"2022-10-31","2022Oct","1.4277"
"2022-11-30","2022Nov","1.8252"
"2022-12-31","2022Dec","2.0635"
"2023-01-31","2023Jan","2.3449"
"2023-02-28","2023Feb","2.6403"
"2023-03-31","2023Mar","2.9106"
"2023-04-30","2023Apr","3.1670"
"2023-05-31","2023May","3.3664"
"2023-06-30","2023Jun","3.5359"
"2023-07-31","2023Jul","3.6718"
"2023-08-31","2023Aug","3.7803"
"2023-09-30","2023Sep","3.8800"
"2023-10-31","2023Oct","3.9676"
"2023-11-30","2023Nov","3.9716"
"2023-12-31","2023Dec","3.9331"
"2024-01-31","2024Jan","3.9253"
"2024-02-29","2024Feb","3.9232"
"2024-03-31","2024Mar","3.9224"
"2024-04-30","2024Apr","3.8864"
"2024-05-31","2024May","3.8137"
"2024-06-30","2024Jun","3.7245"
"2024-07-31","2024Jul","3.6848"
"2024-08-31","2024Aug","3.5476"
"2024-09-30","2024Sep","3.4337"
"2024-10-31","2024Oct","3.1666"
"2024-11-30","2024Nov","3.0068"
